"Lat","Long","Month","Period","Offense","Season"
"36.836358"," -76.07509","APRIL","AFTERNOON","ASSAULT","SPRING"
"36.795804"," -76.115741","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.762397"," -75.994865","NOVEMBER","EVENING","ASSAULT","FALL"
"36.841786"," -76.133837","JULY","NIGHT","ASSAULT","SUMMER"
"36.809503"," -76.087662","SEPTEMBER","MORNING","ASSAULT","FALL"
"36.85429"," -76.132384","AUGUST","MORNING","ASSAULT","SUMMER"
"36.817592"," -76.094168","MAY","NIGHT","ASSAULT","SPRING"
"36.734457"," -76.071929","MAY","AFTERNOON","ASSAULT","SPRING"
"36.84724"," -76.144792","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.8435"," -76.125923","JANUARY","MORNING","ASSAULT","WINTER"
"36.836383"," -76.111908","JUNE","NIGHT","ASSAULT","SUMMER"
"36.862994"," -76.173384","APRIL","MORNING","ASSAULT","SPRING"
"36.837758"," -76.114092","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.837753"," -75.98704","AUGUST","EVENING","ASSAULT","SUMMER"
"36.793524"," -76.163067","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.808858"," -76.082306","MAY","EVENING","ASSAULT","SPRING"
"36.900916"," -76.144945","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.813402"," -76.165751","MARCH","EVENING","ASSAULT","SPRING"
"36.905115"," -76.145972","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.843585"," -76.131499","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.838374"," -76.009533","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.84009"," -76.013188","JULY","AFTERNOON","ASSAULT","SUMMER"
"36.848108"," -76.136551","MAY","AFTERNOON","ASSAULT","SPRING"
"36.910117"," -76.083563","JANUARY","NIGHT","ASSAULT","WINTER"
"36.733099"," -75.970809","AUGUST","MORNING","ASSAULT","SUMMER"
"36.845022"," -76.025695","AUGUST","MORNING","ASSAULT","SUMMER"
"36.848395"," -75.975093","MAY","EVENING","ASSAULT","SPRING"
"36.84542"," -76.048044","MARCH","NIGHT","ASSAULT","SPRING"
"36.806338"," -76.129751","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.810251"," -76.202754","APRIL","NIGHT","ASSAULT","SPRING"
"36.843585"," -76.131499","DECEMBER","MORNING","ASSAULT","WINTER"
"36.842599"," -76.02181","JANUARY","NIGHT","ASSAULT","WINTER"
