Lat,Long,Month,Period,Offense,Season
36.869805,-76.129997,SEPTEMBER,MORNING,LARCENY,FALL
36.77719,-76.130044,MAY,MORNING,FRAUD,SPRING
36.77719,-76.130044,NOVEMBER,AFTERNOON,LARCENY,FALL
36.795313,-76.130057,AUGUST,MORNING,LARCENY,SUMMER
36.795313,-76.130057,JULY,NIGHT,LARCENY,SUMMER
36.795313,-76.130057,OCTOBER,NIGHT,ASSAULT,FALL
36.782502,-76.130075,AUGUST,AFTERNOON,LARCENY,SUMMER
36.782502,-76.130075,JANUARY,AFTERNOON,DESTRUCTION OF PROPERTY,WINTER
36.782502,-76.130075,NOVEMBER,AFTERNOON,LARCENY,FALL
36.905529,-76.130115,MARCH,NIGHT,LARCENY,SPRING
36.905529,-76.130115,MARCH,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.905529,-76.130115,APRIL,EVENING,DESTRUCTION OF PROPERTY,SPRING
36.794568,-76.130169,MAY,EVENING,ASSAULT,SPRING
36.794568,-76.130169,MARCH,NIGHT,ASSAULT,SPRING
36.814141,-76.130172,NOVEMBER,NIGHT,ASSAULT,FALL
36.814141,-76.130172,SEPTEMBER,NIGHT,LARCENY,FALL
36.814141,-76.130172,JUNE,EVENING,ASSAULT,SUMMER
36.814141,-76.130172,APRIL,NIGHT,ASSAULT,SPRING
36.814141,-76.130172,JANUARY,NIGHT,ASSAULT,WINTER
36.814141,-76.130172,AUGUST,AFTERNOON,LARCENY,SUMMER
36.814141,-76.130172,SEPTEMBER,AFTERNOON,ASSAULT,FALL
36.814141,-76.130172,MARCH,NIGHT,ASSAULT,SPRING
36.814141,-76.130172,MARCH,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.881529,-76.130211,OCTOBER,NIGHT,FRAUD,FALL
36.865391,-76.130212,JULY,EVENING,ASSAULT,SUMMER
36.865391,-76.130212,MARCH,EVENING,LARCENY,SPRING
36.858404,-76.13023,DECEMBER,MORNING,LARCENY,WINTER
36.892362,-76.130252,JANUARY,AFTERNOON,LARCENY,WINTER
36.91828,-76.130255,JULY,AFTERNOON,LARCENY,SUMMER
36.91828,-76.130255,JULY,AFTERNOON,DESTRUCTION OF PROPERTY,SUMMER
36.907316,-76.1303,OCTOBER,EVENING,ASSAULT,FALL
36.837466,-76.13031,JULY,EVENING,DESTRUCTION OF PROPERTY,SUMMER
36.837466,-76.13031,APRIL,MORNING,DESTRUCTION OF PROPERTY,SPRING
36.837466,-76.13031,APRIL,MORNING,FRAUD,SPRING
36.837466,-76.13031,MAY,NIGHT,ASSAULT,SPRING
36.837466,-76.13031,JANUARY,NIGHT,LARCENY,WINTER
36.837466,-76.13031,MAY,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.862111,-76.130332,FEBRUARY,AFTERNOON,LARCENY,WINTER
36.862111,-76.130332,FEBRUARY,AFTERNOON,DESTRUCTION OF PROPERTY,WINTER
36.903773,-76.130339,OCTOBER,AFTERNOON,LARCENY,FALL
36.903773,-76.130339,APRIL,AFTERNOON,LARCENY,SPRING
36.903773,-76.130339,JULY,EVENING,LARCENY,SUMMER
36.903773,-76.130339,NOVEMBER,MORNING,LARCENY,FALL
36.903773,-76.130339,SEPTEMBER,MORNING,LARCENY,FALL
36.903773,-76.130339,MAY,AFTERNOON,LARCENY,SPRING
36.903773,-76.130339,MARCH,AFTERNOON,LARCENY,SPRING
36.903773,-76.130339,JULY,AFTERNOON,LARCENY,SUMMER
36.903773,-76.130339,APRIL,AFTERNOON,HIT & RUN,SPRING
36.903773,-76.130339,OCTOBER,NIGHT,LARCENY,FALL
36.903773,-76.130339,APRIL,AFTERNOON,DESTRUCTION OF PROPERTY,SPRING
36.903773,-76.130339,OCTOBER,AFTERNOON,FRAUD,FALL
36.903773,-76.130339,JANUARY,AFTERNOON,FRAUD,WINTER
36.903773,-76.130339,AUGUST,MORNING,LARCENY,SUMMER
36.903773,-76.130339,SEPTEMBER,MORNING,HIT & RUN,FALL
36.903773,-76.130339,DECEMBER,NIGHT,DESTRUCTION OF PROPERTY,WINTER
36.903773,-76.130339,MARCH,AFTERNOON,HIT & RUN,SPRING
36.790211,-76.130343,FEBRUARY,NIGHT,ASSAULT,WINTER
36.825967,-76.130362,OCTOBER,EVENING,ASSAULT,FALL
36.825967,-76.130362,JULY,EVENING,DESTRUCTION OF PROPERTY,SUMMER
36.825967,-76.130362,JULY,NIGHT,LARCENY,SUMMER
36.825967,-76.130362,OCTOBER,EVENING,LARCENY,FALL
36.825967,-76.130362,DECEMBER,NIGHT,FRAUD,WINTER
36.777216,-76.130388,DECEMBER,NIGHT,DESTRUCTION OF PROPERTY,WINTER
36.839038,-76.130391,MARCH,AFTERNOON,ASSAULT,SPRING
36.839038,-76.130391,FEBRUARY,EVENING,DESTRUCTION OF PROPERTY,WINTER
36.839038,-76.130391,OCTOBER,NIGHT,LARCENY,FALL
36.839038,-76.130391,MAY,EVENING,ASSAULT,SPRING
36.772411,-76.130414,MARCH,AFTERNOON,DESTRUCTION OF PROPERTY,SPRING
36.83299,-76.130437,NOVEMBER,AFTERNOON,DESTRUCTION OF PROPERTY,FALL
36.782086,-76.130446,AUGUST,AFTERNOON,LARCENY,SUMMER
36.769737,-76.130524,JUNE,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.800351,-76.130648,MAY,NIGHT,ASSAULT,SPRING
36.800351,-76.130648,JULY,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.90379,-76.130667,JUNE,MORNING,ASSAULT,SUMMER
36.777091,-76.130701,MARCH,MORNING,LARCENY,SPRING
36.866154,-76.130759,JULY,NIGHT,HIT & RUN,SUMMER
36.866154,-76.130759,APRIL,NIGHT,HIT & RUN,SPRING
36.803738,-76.130761,MAY,NIGHT,LARCENY,SPRING
36.803738,-76.130761,JULY,NIGHT,LARCENY,SUMMER
36.888981,-76.130829,MARCH,MORNING,LARCENY,SPRING
36.906482,-76.130844,JUNE,NIGHT,LARCENY,SUMMER
36.906482,-76.130844,OCTOBER,MORNING,FRAUD,FALL
36.906482,-76.130844,JULY,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.906482,-76.130844,JUNE,NIGHT,ASSAULT,SUMMER
36.906482,-76.130844,JUNE,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.886743,-76.130848,MARCH,AFTERNOON,DESTRUCTION OF PROPERTY,SPRING
36.832151,-76.130902,FEBRUARY,MORNING,LARCENY,WINTER
36.908567,-76.130974,FEBRUARY,NIGHT,ASSAULT,WINTER
36.908567,-76.130974,NOVEMBER,EVENING,LARCENY,FALL
36.908567,-76.130974,MARCH,MORNING,LARCENY,SPRING
36.908567,-76.130974,JANUARY,AFTERNOON,ASSAULT,WINTER
36.908567,-76.130974,DECEMBER,MORNING,LARCENY,WINTER
36.843573,-76.131003,JULY,AFTERNOON,LARCENY,SUMMER
36.843573,-76.131003,AUGUST,EVENING,LARCENY,SUMMER
36.843573,-76.131003,DECEMBER,AFTERNOON,HIT & RUN,WINTER
36.843573,-76.131003,MAY,AFTERNOON,LARCENY,SPRING
36.843573,-76.131003,JANUARY,EVENING,FRAUD,WINTER
36.843573,-76.131003,JANUARY,AFTERNOON,FRAUD,WINTER
36.843573,-76.131003,MAY,EVENING,LARCENY,SPRING
36.843573,-76.131003,MARCH,AFTERNOON,HIT & RUN,SPRING
36.843573,-76.131003,OCTOBER,MORNING,LARCENY,FALL
36.843573,-76.131003,JUNE,AFTERNOON,LARCENY,SUMMER
36.843573,-76.131003,DECEMBER,AFTERNOON,LARCENY,WINTER
36.843573,-76.131003,JANUARY,AFTERNOON,LARCENY,WINTER
36.843573,-76.131003,DECEMBER,EVENING,LARCENY,WINTER
36.843573,-76.131003,MARCH,AFTERNOON,LARCENY,SPRING
36.843573,-76.131003,AUGUST,NIGHT,LARCENY,SUMMER
36.843573,-76.131003,FEBRUARY,MORNING,FRAUD,WINTER
36.843573,-76.131003,OCTOBER,AFTERNOON,LARCENY,FALL
36.843573,-76.131003,APRIL,EVENING,LARCENY,SPRING
36.843573,-76.131003,NOVEMBER,AFTERNOON,LARCENY,FALL
36.843573,-76.131003,JULY,EVENING,LARCENY,SUMMER
36.843573,-76.131003,AUGUST,AFTERNOON,DESTRUCTION OF PROPERTY,SUMMER
36.843573,-76.131003,JANUARY,EVENING,LARCENY,WINTER
36.843573,-76.131003,APRIL,AFTERNOON,HIT & RUN,SPRING
36.843573,-76.131003,FEBRUARY,EVENING,LARCENY,WINTER
36.843573,-76.131003,APRIL,AFTERNOON,LARCENY,SPRING
36.843573,-76.131003,SEPTEMBER,EVENING,HIT & RUN,FALL
36.843573,-76.131003,MAY,MORNING,LARCENY,SPRING
36.843573,-76.131003,AUGUST,AFTERNOON,LARCENY,SUMMER
36.843573,-76.131003,FEBRUARY,MORNING,LARCENY,WINTER
36.843573,-76.131003,JULY,AFTERNOON,FRAUD,SUMMER
36.843573,-76.131003,JULY,AFTERNOON,HIT & RUN,SUMMER
36.875725,-76.131016,JUNE,AFTERNOON,LARCENY,SUMMER
36.875725,-76.131016,JUNE,AFTERNOON,DESTRUCTION OF PROPERTY,SUMMER
36.838997,-76.131051,OCTOBER,AFTERNOON,LARCENY,FALL
36.838997,-76.131051,JULY,EVENING,LARCENY,SUMMER
36.838997,-76.131051,JULY,EVENING,HIT & RUN,SUMMER
36.838997,-76.131051,JUNE,NIGHT,LARCENY,SUMMER
36.838997,-76.131051,OCTOBER,AFTERNOON,ASSAULT,FALL
36.838997,-76.131051,DECEMBER,EVENING,LARCENY,WINTER
36.840904,-76.131054,DECEMBER,AFTERNOON,LARCENY,WINTER
36.840904,-76.131054,JULY,MORNING,LARCENY,SUMMER
36.840904,-76.131054,SEPTEMBER,AFTERNOON,HIT & RUN,FALL
36.840904,-76.131054,NOVEMBER,AFTERNOON,HIT & RUN,FALL
36.840904,-76.131054,FEBRUARY,EVENING,LARCENY,WINTER
36.840904,-76.131054,DECEMBER,AFTERNOON,FRAUD,WINTER
36.840904,-76.131054,DECEMBER,AFTERNOON,DESTRUCTION OF PROPERTY,WINTER
36.840904,-76.131054,MAY,AFTERNOON,DESTRUCTION OF PROPERTY,SPRING
36.840904,-76.131054,DECEMBER,AFTERNOON,HIT & RUN,WINTER
36.840904,-76.131054,MARCH,AFTERNOON,LARCENY,SPRING
36.840904,-76.131054,AUGUST,AFTERNOON,HIT & RUN,SUMMER
